DateKey,AreaID,LocationID,Día,Noche,Tarde
20240101,A001,L006,956.9100000000001,3985.28,1078.59
20240101,A002,L006,3904.82,2142.9,0.0
20240101,A003,L006,2067.46,5526.34,2343.9
20240101,A004,L006,1720.5299999999997,5087.72,2783.75
20240101,A005,L004,3533.91,1240.51,509.95
20240101,A006,L001,1229.31,2559.39,0.0
20240102,A001,L006,3048.6399999999994,2885.43,412.16
20240102,A002,L006,400.83,961.63,1474.16
20240102,A003,L006,2905.79,2311.62,3728.29
20240102,A004,L006,4662.8099999999995,2545.91,0.0
20240102,A005,L004,771.38,2097.62,2586.29
20240102,A006,L001,4506.59,0.0,274.58
20240103,A001,L006,8727.7,429.44,783.98
20240103,A002,L006,759.06,1704.24,137.85
20240103,A003,L006,5860.400000000001,2667.6000000000004,6888.9800000000005
20240103,A004,L006,1705.96,703.25,1121.18
20240103,A005,L004,4122.89,4449.67,3287.6099999999997
20240103,A006,L001,8088.32,2648.76,0.0
20240104,A001,L006,1979.09,0.0,0.0
20240104,A002,L006,2235.45,0.0,0.0
20240104,A003,L006,4745.22,6186.200000000001,5255.73
20240104,A004,L006,0.0,2645.05,265.7
20240104,A005,L004,550.86,1903.28,0.0
20240104,A006,L001,2298.4,9663.83,1728.94
20240105,A001,L006,2173.21,5759.360000000001,3806.07
20240105,A002,L006,2426.27,842.66,1403.4499999999998
20240105,A003,L006,847.59,7742.47,3842.0600000000004
20240105,A004,L006,1651.23,2875.48,454.27
20240105,A005,L004,2386.51,1769.55,1133.16
20240105,A006,L001,957.02,3590.24,0.0
20240106,A001,L006,2628.39,1912.12,655.19
20240106,A002,L006,0.0,0.0,1037.87
20240106,A003,L006,2157.65,2700.53,1139.81
20240106,A004,L006,2346.93,1667.49,417.16
20240106,A005,L004,1627.57,972.51,2170.29
20240106,A006,L001,4289.86,557.34,0.0
20240107,A001,L006,1674.79,8148.099999999999,364.37
20240107,A003,L006,3151.52,1472.81,5758.67
20240107,A004,L006,2320.16,3045.42,1887.9299999999998
20240107,A005,L004,3191.02,3550.38,1615.78
20240107,A006,L001,1772.47,1085.05,3319.0499999999997
20240108,A001,L006,13697.28,1454.31,0.0
20240108,A002,L006,0.0,1777.15,1015.1
20240108,A003,L006,1175.8899999999999,1398.88,612.41
20240108,A004,L006,3766.96,0.0,2956.0
20240108,A005,L004,0.0,6337.960000000001,3715.84
20240108,A006,L001,1072.25,1281.24,1263.96
20240109,A001,L006,3552.89,2201.0299999999997,3564.52
20240109,A002,L006,1535.15,0.0,0.0
20240109,A003,L006,3809.85,6560.52,2792.32
20240109,A004,L006,1209.4,0.0,3509.17
20240109,A005,L004,1964.78,1271.22,4763.82
20240109,A006,L001,718.44,0.0,824.17
20240110,A001,L006,4168.860000000001,5005.3,2600.82
20240110,A002,L006,0.0,495.21,2761.1000000000004
20240110,A003,L006,4972.55,3612.0,4898.530000000001
20240110,A004,L006,2383.13,1291.3899999999999,0.0
20240110,A005,L004,1245.75,634.09,0.0
20240110,A006,L001,756.9,0.0,0.0
20240111,A001,L006,3135.62,717.62,1285.32
20240111,A002,L006,997.6300000000001,0.0,0.0
20240111,A003,L006,2565.02,2783.6499999999996,465.57
20240111,A004,L006,3446.21,0.0,2693.4300000000003
20240111,A005,L004,0.0,3510.42,0.0
20240111,A006,L001,1869.59,1952.08,0.0
20240112,A001,L006,0.0,2593.48,479.31
20240112,A002,L006,9400.82,1309.09,0.0
20240112,A003,L006,2666.56,3198.95,5869.23
20240112,A004,L006,4857.48,335.76,2226.74
20240112,A005,L004,3886.83,2510.48,2986.88
20240112,A006,L001,4400.17,3735.7299999999996,261.39
20240113,A001,L006,5219.55,0.0,1579.67
20240113,A002,L006,99.68,528.0,2669.27
20240113,A003,L006,7340.12,2366.19,1776.6599999999999
20240113,A004,L006,5020.4,938.06,5078.41
20240113,A005,L004,6925.3,3927.63,1153.84
20240113,A006,L001,2348.79,2274.19,0.0
20240114,A001,L006,2938.23,1886.96,0.0
20240114,A002,L006,2397.5899999999997,0.0,0.0
20240114,A003,L006,5581.23,3222.51,0.0
20240114,A004,L006,3365.69,4324.84,7162.37
20240114,A005,L004,7764.51,0.0,2207.6800000000003
20240114,A006,L001,0.0,948.47,2269.11
20240115,A001,L006,0.0,5463.88,1949.1
20240115,A002,L006,375.41,0.0,1765.22
20240115,A003,L006,503.25,4909.96,1643.84
20240115,A004,L006,2151.5699999999997,4164.55,841.33
20240115,A005,L004,2077.44,1709.84,4075.52
20240115,A006,L001,389.97,0.0,1096.51
20240116,A001,L006,1495.4699999999998,1995.92,5124.8099999999995
20240116,A002,L006,502.24,731.97,1101.91
20240116,A003,L006,2843.58,2750.58,1151.95
20240116,A004,L006,0.0,2348.18,1672.37
20240116,A005,L004,3144.89,312.12,6479.38
20240116,A006,L001,1767.79,0.0,734.13
20240117,A001,L006,4010.93,0.0,2524.8599999999997
20240117,A002,L006,3513.83,2078.02,5217.21
20240117,A003,L006,380.55,6039.66,2804.16
20240117,A004,L006,4104.46,461.05,2242.3
20240117,A005,L004,2948.66,2039.19,1104.31
20240117,A006,L001,1247.6,3761.0,0.0
20240118,A001,L006,1377.71,3231.55,0.0
20240118,A002,L006,0.0,2830.6099999999997,2195.84
20240118,A003,L006,827.94,947.85,10941.45
20240118,A004,L006,1043.26,0.0,6240.83
20240118,A005,L004,4068.54,3477.6499999999996,1554.86
20240118,A006,L001,4962.0,1902.15,257.89
20240119,A001,L006,5567.9800000000005,6221.18,2131.78
20240119,A002,L006,2577.58,0.0,2651.16
20240119,A003,L006,3091.56,6752.219999999999,2184.34
20240119,A004,L006,1236.12,4679.2,1947.39
20240119,A005,L004,0.0,2723.2799999999997,1434.92
20240119,A006,L001,1846.18,0.0,2308.57
20240120,A001,L006,2269.46,0.0,0.0
20240120,A002,L006,4441.35,697.41,4972.45
20240120,A003,L006,4789.28,6594.65,1610.67
20240120,A004,L006,1005.47,3112.08,3273.2799999999997
20240120,A005,L004,1082.16,5236.18,2713.49
20240120,A006,L001,1653.62,2016.21,2031.12
20240121,A001,L006,2689.18,1741.63,2089.8900000000003
20240121,A002,L006,0.0,0.0,2847.2799999999997
20240121,A003,L006,0.0,2079.54,4672.7300000000005
20240121,A004,L006,167.09,4179.03,2626.7599999999998
20240121,A005,L004,7633.139999999999,5640.45,8754.810000000001
20240121,A006,L001,1993.03,3969.86,0.0
20240122,A001,L006,1988.21,7527.75,2307.65
20240122,A002,L006,1417.14,3154.31,1936.66
20240122,A003,L006,10315.06,6164.120000000001,4838.16
20240122,A004,L006,0.0,0.0,3514.42
20240122,A005,L004,2033.38,2921.85,1162.24
20240122,A006,L001,594.64,5686.76,1545.3
20240123,A001,L006,1261.8200000000002,0.0,3321.17
20240123,A002,L006,2521.68,814.99,0.0
20240123,A003,L006,12958.720000000001,3519.52,611.95
20240123,A004,L006,1451.6100000000001,0.0,2127.08
20240123,A005,L004,4425.91,1531.11,0.0
20240123,A006,L001,856.48,3093.6,2250.7799999999997
20240124,A001,L006,1084.58,2501.4,2578.27
20240124,A002,L006,634.92,6681.889999999999,2251.3199999999997
20240124,A003,L006,2288.75,898.06,2647.5299999999997
20240124,A004,L006,2405.56,0.0,2400.11
20240124,A005,L004,3358.38,176.05,3511.63
20240124,A006,L001,0.0,2899.33,3016.02
20240125,A001,L006,2038.6,168.83,0.0
20240125,A002,L006,1952.69,2222.3,3020.88
20240125,A003,L006,8249.98,5436.53,509.06
20240125,A004,L006,0.0,4603.01,337.07
20240125,A005,L004,6162.82,2454.0299999999997,245.09
20240125,A006,L001,843.9300000000001,3833.3,5579.55
20240126,A001,L006,4692.32,2648.75,0.0
20240126,A002,L006,0.0,1190.82,1153.75
20240126,A003,L006,5409.04,394.65,7109.3
20240126,A004,L006,2316.97,1732.32,579.68
20240126,A005,L004,3269.24,1546.04,769.82
20240126,A006,L001,2014.32,5470.58,363.28
20240127,A001,L006,7707.15,6000.3099999999995,1929.78
20240127,A002,L006,0.0,1950.44,3044.61
20240127,A003,L006,2711.9,1571.58,3553.44
20240127,A004,L006,0.0,705.81,0.0
20240127,A005,L004,4223.389999999999,2784.07,625.83
20240127,A006,L001,4006.5299999999997,0.0,3888.96
20240128,A001,L006,4126.780000000001,1682.74,1160.5
20240128,A002,L006,2448.3,0.0,4345.26
20240128,A003,L006,9559.3,3724.5,2633.09
20240128,A004,L006,1851.9,0.0,742.36
